,only_gen_code,question,ref_code,test_asserts,gen_code,time
10,"
def multiples_of_num(m,n):
    result = []
    for i in range(m):
        result.append(n*i)
    return result
",Write a function to find m number of multiples of n.,"def multiples_of_num(m,n): 
    multiples_of_num= list(range(n,(m+1)*n, n)) 
    return list(multiples_of_num)","['assert multiples_of_num(4,3)== [3,6,9,12]', 'assert multiples_of_num(2,5)== [5,10]', 'assert multiples_of_num(9,2)== [2,4,6,8,10,12,14,16,18]']","Python Function - Write a function to find m number of multiples of n.
def multiples_of_num(m,n):
    result = []
    for i in range(m):
        result.append(n*i)
    return result
",10.458035230636597
11,"
def find_first_duplicate(nums):
    result = None
    for i in range(len(nums)):
        if nums[i] in nums[i+1:]:
            result = nums[i]
            break
    return result
",Write a function to find the first duplicate element in a given array of integers.,"def find_first_duplicate(nums):
    num_set = set()
    no_duplicate = -1

    for i in range(len(nums)):

        if nums[i] in num_set:
            return nums[i]
        else:
            num_set.add(nums[i])

    return no_duplicate","['assert find_first_duplicate(([1, 2, 3, 4, 4, 5]))==4', 'assert find_first_duplicate([1, 2, 3, 4])==-1', 'assert find_first_duplicate([1, 1, 2, 3, 3, 2, 2])==1']","Python Function - Write a function to find the first duplicate element in a given array of integers.
def find_first_duplicate(nums):
    result = None
    for i in range(len(nums)):
        if nums[i] in nums[i+1:]:
            result = nums[i]
            break
    return result
",18.399386167526245
12,"
def maximum_Sum(list1):
    result = 0
    for i in list1:
        result = max(result, sum(i))
    return result
",Write a python function to find the maximum sum of elements of list in a list of lists.,"def maximum_Sum(list1): 
    maxi = -100000
    for x in list1: 
        sum = 0 
        for y in x: 
            sum+= y      
        maxi = max(sum,maxi)     
    return maxi ","['assert maximum_Sum([[1,2,3],[4,5,6],[10,11,12],[7,8,9]]) == 33', 'assert maximum_Sum([[0,1,1],[1,1,2],[3,2,1]]) == 6', 'assert maximum_Sum([[0,1,3],[1,2,1],[9,8,2],[0,1,0],[6,4,8]]) == 19']","Python Function - Write a python function to find the maximum sum of elements of list in a list of lists.
def maximum_Sum(list1):
    result = 0
    for i in list1:
        result = max(result, sum(i))
    return result
",11.293525695800781
13,"
def binary_to_decimal(binary):
    result = 0
    for i in range(len(binary)):
        result += int(binary[i]) * 2 ** (len(binary) - i - 1)
    return result
",Write a function to convert the given binary number to its decimal equivalent.,"def binary_to_decimal(binary): 
    binary1 = binary 
    decimal, i, n = 0, 0, 0
    while(binary != 0): 
        dec = binary % 10
        decimal = decimal + dec * pow(2, i) 
        binary = binary//10
        i += 1
    return (decimal)","['assert binary_to_decimal(100) == 4', 'assert binary_to_decimal(1011) == 11', 'assert binary_to_decimal(1101101) == 109']","Python Function - Write a function to convert the given binary number to its decimal equivalent.
def binary_to_decimal(binary):
    result = 0
    for i in range(len(binary)):
        result += int(binary[i]) * 2 ** (len(binary) - i - 1)
    return result
",17.09575867652893
14,"
def find_Product(arr,n):
    result = 1
    for i in range(n):
        if arr[i] not in arr[i+1:]:
            result *= arr[i]
    return result
",Write a python function to find the product of non-repeated elements in a given array.,"def find_Product(arr,n): 
    arr.sort() 
    prod = 1
    for i in range(0,n,1): 
        if (arr[i - 1] != arr[i]): 
            prod = prod * arr[i] 
    return prod; ","['assert find_Product([1,1,2,3],4) == 6', 'assert find_Product([1,2,3,1,1],5) == 6', 'assert find_Product([1,1,4,5,6],5) == 120']","Python Function - Write a python function to find the product of non-repeated elements in a given array.
def find_Product(arr,n):
    result = 1
    for i in range(n):
        if arr[i] not in arr[i+1:]:
            result *= arr[i]
    return result
",16.32369065284729
15,"
def check_k_elements(test_list, K):
    result = True
    for i in range(len(test_list)):
        if len(test_list[i]) != K:
            result = False
            break
    return result
",Write a function to check if the given tuple list has all k elements.,"def check_k_elements(test_list, K):
  res = True
  for tup in test_list:
    for ele in tup:
      if ele != K:
        res = False
  return (res) ","['assert check_k_elements([(4, 4), (4, 4, 4), (4, 4), (4, 4, 4, 4), (4, )], 4) == True', 'assert check_k_elements([(7, 7, 7), (7, 7)], 7) == True', 'assert check_k_elements([(9, 9), (9, 9, 9, 9)], 7) == False']","Python Function - Write a function to check if the given tuple list has all k elements.
def check_k_elements(test_list, K):
    result = True
    for i in range(len(test_list)):
        if len(test_list[i]) != K:
            result = False
            break
    return result
",16.320607662200928
16,"
import re  
def remove(list): 
    result = []  
    for i in list:  
        result.append(re.sub(r'\d', '', i))  
    return result
",Write a python function to remove all digits from a list of strings.,"import re  
def remove(list): 
    pattern = '[0-9]'
    list = [re.sub(pattern, '', i) for i in list] 
    return list","[""assert remove(['4words', '3letters', '4digits']) == ['words', 'letters', 'digits']"", ""assert remove(['28Jan','12Jan','11Jan']) == ['Jan','Jan','Jan']"", ""assert remove(['wonder1','wonder2','wonder3']) == ['wonder','wonder','wonder']""]","Python Function - Write a python function to remove all digits from a list of strings.
import re  
def remove(list): 
    result = []  
    for i in list:  
        result.append(re.sub(r'\d', '', i))  
    return result
",15.469800233840942
17,"
def binomial_Coeff(n,k):
    result = 1
    for i in range(0,k):
        result = result * (n-i)
        result = result / (i+1)
    return result
",Write a python function to find binomial co-efficient.,"def binomial_Coeff(n,k): 
    if k > n : 
       return 0
    if k==0 or k ==n : 
        return 1 
    return binomial_Coeff(n-1,k-1) + binomial_Coeff(n-1,k) ","['assert binomial_Coeff(5,2) == 10', 'assert binomial_Coeff(4,3) == 4', 'assert binomial_Coeff(3,2) == 3']","Python Function - Write a python function to find binomial co-efficient.
def binomial_Coeff(n,k):
    result = 1
    for i in range(0,k):
        result = result * (n-i)
        result = result / (i+1)
    return result
",15.968111276626587
18,"
def get_Odd_Occurrence(arr,arr_size):
    result = 0
    for i in range(0,arr_size):
        result = result ^ arr[i]
    return result

",Write a python function to find the element occurring odd number of times.,"def get_Odd_Occurrence(arr,arr_size):   
    for i in range(0,arr_size): 
        count = 0
        for j in range(0,arr_size): 
            if arr[i] == arr[j]: 
                count+=1     
        if (count % 2 != 0): 
            return arr[i]     
    return -1","['assert get_Odd_Occurrence([1,2,3,1,2,3,1],7) == 1', 'assert get_Odd_Occurrence([1,2,3,2,3,1,3],7) == 3', 'assert get_Odd_Occurrence([2,3,5,4,5,2,4,3,5,2,4,4,2],13) == 5']","Python Function - Write a python function to find the element occurring odd number of times.
def get_Odd_Occurrence(arr,arr_size):
    result = 0
    for i in range(0,arr_size):
        result = result ^ arr[i]
    return result

Python Function - Write a python function to find the element occurring odd number of times.
def get_Odd_Occurrence(arr,arr_size):
    result = 0
    for i in range(0,arr_size):
        result = result ^ arr[i]
    return result
",37.78543949127197
19,"
def check_Equality(s):
    result = 0
    for i in range(len(s)):
        for j in range(i, len(s)):
            if s[i] == s[j]:
                result += 1
    return result
",Write a python function to count all the substrings starting and ending with same characters.,"def check_Equality(s): 
    return (ord(s[0]) == ord(s[len(s) - 1])); 
def count_Substring_With_Equal_Ends(s): 
    result = 0; 
    n = len(s); 
    for i in range(n): 
        for j in range(1,n-i+1):  
            if (check_Equality(s[i:i+j])): 
                result+=1; 
    return result; ","['assert count_Substring_With_Equal_Ends(""abc"") == 3', 'assert count_Substring_With_Equal_Ends(""abcda"") == 6', 'assert count_Substring_With_Equal_Ends(""ab"") == 2']","Python Function - Write a python function to count all the substrings starting and ending with same characters.
def check_Equality(s):
    result = 0
    for i in range(len(s)):
        for j in range(i, len(s)):
            if s[i] == s[j]:
                result += 1
    return result
",19.459617614746094
20,"
def func(nums, k):
    result = []
    heap = []
    for num in nums:
        if len(heap) < k:
            heapq.heappush(heap, num)
        else:
            if num > heap[0]:
                heapq.heappop(heap)
                heapq.heappush(heap, num)
    for i in range(len(heap)):
        result.append(heap[i])
    return result
",Write a function to find the top k integers that occur most frequently from given lists of sorted and distinct integers using heap queue algorithm.,"def func(nums, k):
    import collections
    d = collections.defaultdict(int)
    for row in nums:
        for i in row:
            d[i] += 1
    temp = []
    import heapq
    for key, v in d.items():
        if len(temp) < k:
            temp.append((v, key))
            if len(temp) == k:
                heapq.heapify(temp)
        else:
            if v > temp[0][0]:
                heapq.heappop(temp)
                heapq.heappush(temp, (v, key))
    result = []
    while temp:
        v, key = heapq.heappop(temp)
        result.append(key)
    return result","['assert func([[1, 2, 6], [1, 3, 4, 5, 7, 8], [1, 3, 5, 6, 8, 9], [2, 5, 7, 11], [1, 4, 7, 8, 12]],3)==[5, 7, 1]', 'assert func([[1, 2, 6], [1, 3, 4, 5, 7, 8], [1, 3, 5, 6, 8, 9], [2, 5, 7, 11], [1, 4, 7, 8, 12]],1)==[1]', 'assert func([[1, 2, 6], [1, 3, 4, 5, 7, 8], [1, 3, 5, 6, 8, 9], [2, 5, 7, 11], [1, 4, 7, 8, 12]],5)==[6, 5, 7, 8, 1]']","Python Function - Write a function to find the top k integers that occur most frequently from given lists of sorted and distinct integers using heap queue algorithm.
def func(nums, k):
    result = []
    heap = []
    for num in nums:
        if len(heap) < k:
            heapq.heappush(heap, num)
        else:
            if num > heap[0]:
                heapq.heappop(heap)
                heapq.heappush(heap, num)
    for i in range(len(heap)):
        result.append(heap[i])
    return result
",40.42398810386658
21,"
import math 
def max_Prime_Factors (n):
    result = 1
    for i in range(2, int(math.sqrt(n)) + 1):
        if n % i == 0:
            result = i
            break
    return result
",Write a python function to find the largest prime factor of a given number.,"import math 
def max_Prime_Factors (n): 
    maxPrime = -1 
    while n%2 == 0: 
        maxPrime = 2
        n >>= 1    
    for i in range(3,int(math.sqrt(n))+1,2): 
        while n % i == 0: 
            maxPrime = i 
            n = n / i 
    if n > 2: 
        maxPrime = n  
    return int(maxPrime)","['assert max_Prime_Factors(15) == 5', 'assert max_Prime_Factors(6) == 3', 'assert max_Prime_Factors(2) == 2']","Python Function - Write a python function to find the largest prime factor of a given number.
import math 
def max_Prime_Factors (n):
    result = 1
    for i in range(2, int(math.sqrt(n)) + 1):
        if n % i == 0:
            result = i
            break
    return result
",20.587661266326904
22,"
def decimal_To_Binary(N):
    result = ''
    while N > 0:
        result = str(N % 2) + result
        N = N // 2
    return result
",Write a python function to convert a decimal number to binary number.,"def decimal_To_Binary(N): 
    B_Number = 0
    cnt = 0
    while (N != 0): 
        rem = N % 2
        c = pow(10,cnt)  
        B_Number += rem*c  
        N //= 2 
        cnt += 1
    return B_Number  ","['assert decimal_To_Binary(10) == 1010', 'assert decimal_To_Binary(1) == 1', 'assert decimal_To_Binary(20) == 10100']","Python Function - Write a python function to convert a decimal number to binary number.
def decimal_To_Binary(N):
    result = ''
    while N > 0:
        result = str(N % 2) + result
        N = N // 2
    return result
",14.141980409622192
23,"
def find_missing(ar,N):
    result = 0
    for i in range(N):
        result = result ^ ar[i]
    for i in range(N,N+10):
        result = result ^ i
    return result
",Write a python function to find the missing number in a sorted array.,"def find_missing(ar,N): 
    l = 0
    r = N - 1
    while (l <= r):  
        mid = (l + r) / 2
        mid= int (mid) 
        if (ar[mid] != mid + 1 and ar[mid - 1] == mid): 
            return (mid + 1)  
        elif (ar[mid] != mid + 1): 
            r = mid - 1 
        else: 
            l = mid + 1
    return (-1) ","['assert find_missing([1,2,3,5],4) == 4', 'assert find_missing([1,3,4,5],4) == 2', 'assert find_missing([1,2,3,5,6,7],5) == 4']","Python Function - Write a python function to find the missing number in a sorted array.
def find_missing(ar,N):
    result = 0
    for i in range(N):
        result = result ^ ar[i]
    for i in range(N,N+10):
        result = result ^ i
    return result
",18.494826316833496
24,"
def find_rect_num(n):
    result = 0
    for i in range(1, n+1):
        result += i
    return result
",Write a function to find the n-th rectangular number.,"def find_rect_num(n):
  return n*(n + 1) ","['assert find_rect_num(4) == 20', 'assert find_rect_num(5) == 30', 'assert find_rect_num(6) == 42']","Python Function - Write a function to find the n-th rectangular number.
def find_rect_num(n):
    result = 0
    for i in range(1, n+1):
        result += i
    return result
",10.701713800430298
25,"
def find_Nth_Digit(p,q,N) :
    result = 0
    for i in range(N) :
        result = (result * p + q) % 10
        p = p * 10
    return result
",Write a python function to find the nth digit in the proper fraction of two given numbers.,"def find_Nth_Digit(p,q,N) :  
    while (N > 0) : 
        N -= 1;  
        p *= 10;  
        res = p // q;  
        p %= q;  
    return res;  ","['assert find_Nth_Digit(1,2,1) == 5', 'assert find_Nth_Digit(3,5,1) == 6', 'assert find_Nth_Digit(5,6,5) == 3']","Python Function - Write a python function to find the nth digit in the proper fraction of two given numbers.
def find_Nth_Digit(p,q,N) :
    result = 0
    for i in range(N) :
        result = (result * p + q) % 10
        p = p * 10
    return result
",16.70134449005127
26,"
def sort_mixed_list(mixed_list):
    result = []
    for i in mixed_list:
        if type(i) == int:
            result.append(i)
    result.sort()
    for i in mixed_list:
        if type(i) == str:
            result.append(i)
    return result
",Write a function to sort a given mixed list of integers and strings.,"def sort_mixed_list(mixed_list):
    int_part = sorted([i for i in mixed_list if type(i) is int])
    str_part = sorted([i for i in mixed_list if type(i) is str])
    return int_part + str_part","[""assert sort_mixed_list([19,'red',12,'green','blue', 10,'white','green',1])==[1, 10, 12, 19, 'blue', 'green', 'green', 'red', 'white']"", ""assert sort_mixed_list([19,'red',12,'green','blue', 10,'white','green',1])==[1, 10, 12, 19, 'blue', 'green', 'green', 'red', 'white']"", ""assert sort_mixed_list([19,'red',12,'green','blue', 10,'white','green',1])==[1, 10, 12, 19, 'blue', 'green', 'green', 'red', 'white']""]","Python Function - Write a function to sort a given mixed list of integers and strings.
def sort_mixed_list(mixed_list):
    result = []
    for i in mixed_list:
        if type(i) == int:
            result.append(i)
    result.sort()
    for i in mixed_list:
        if type(i) == str:
            result.append(i)
    return result
",25.45844030380249
27,"
def div_even_odd(list1):
    result = 0
    for i in range(len(list1)):
        if i % 2 == 0:
            result += list1[i]
        else:
            result -= list1[i]
    return result
",Write a function to find the division of first even and odd number of a given list.,"def div_even_odd(list1):
    first_even = next((el for el in list1 if el%2==0),-1)
    first_odd = next((el for el in list1 if el%2!=0),-1)
    return (first_even/first_odd)","['assert div_even_odd([1,3,5,7,4,1,6,8])==4', 'assert div_even_odd([1,2,3,4,5,6,7,8,9,10])==2', 'assert div_even_odd([1,5,7,9,10])==10']","Python Function - Write a function to find the division of first even and odd number of a given list.
def div_even_odd(list1):
    result = 0
    for i in range(len(list1)):
        if i % 2 == 0:
            result += list1[i]
        else:
            result -= list1[i]
    return result
",20.588783025741577
28,"
import heapq
from collections import Counter
def rearange_string(S):
    result = True
    count = Counter(S)
    heap = []
    for key, value in count.items():
        heapq.heappush(heap, (-value, key))
    while len(heap) > 1:
        first = heapq.heappop(heap)
        second = heapq.heappop(heap)
        if first[1] == second[1]:
            result = False
            break
    return result
",Write a function to check if the letters of a given string can be rearranged so that two characters that are adjacent to each other are different.,"import heapq
from collections import Counter
def rearange_string(S):
    ctr = Counter(S)
    heap = [(-value, key) for key, value in ctr.items()]
    heapq.heapify(heap)
    if (-heap[0][0]) * 2 > len(S) + 1: 
        return """"
    ans = []
    while len(heap) >= 2:
        nct1, char1 = heapq.heappop(heap)
        nct2, char2 = heapq.heappop(heap)
        ans.extend([char1, char2])
        if nct1 + 1: heapq.heappush(heap, (nct1 + 1, char1))
        if nct2 + 1: heapq.heappush(heap, (nct2 + 1, char2))
    return """".join(ans) + (heap[0][1] if heap else """")","['assert rearange_string(""aab"")==(\'aba\')', 'assert rearange_string(""aabb"")==(\'abab\')', 'assert rearange_string(""abccdd"")==(\'cdabcd\')']","Python Function - Write a function to check if the letters of a given string can be rearranged so that two characters that are adjacent to each other are different.
import heapq
from collections import Counter
def rearange_string(S):
    result = True
    count = Counter(S)
    heap = []
    for key, value in count.items():
        heapq.heappush(heap, (-value, key))
    while len(heap) > 1:
        first = heapq.heappop(heap)
        second = heapq.heappop(heap)
        if first[1] == second[1]:
            result = False
            break
    return result
",44.787596464157104
29,"
from collections import Counter
from itertools import chain
def freq_element(nums):
    result = Counter(chain.from_iterable(nums))
    return result
",Write a function to find frequency of the elements in a given list of lists using collections module.,"from collections import Counter
from itertools import chain
def freq_element(nums):
  result = Counter(chain.from_iterable(nums))
  return result","['assert freq_element([[1, 2, 3, 2], [4, 5, 6, 2], [7, 1, 9, 5]])==({2: 3, 1: 2, 5: 2, 3: 1, 4: 1, 6: 1, 7: 1, 9: 1})', 'assert freq_element([[1,2,3,4],[5,6,7,8],[9,10,11,12]])==({1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1, 10: 1, 11: 1, 12: 1})', 'assert freq_element([[15,20,30,40],[80,90,100,110],[30,30,80,90]])==({30: 3, 80: 2, 90: 2, 15: 1, 20: 1, 40: 1, 100: 1, 110: 1})']","Python Function - Write a function to find frequency of the elements in a given list of lists using collections module.
from collections import Counter
from itertools import chain
def freq_element(nums):
    result = Counter(chain.from_iterable(nums))
    return result
",9.026169538497925
30,"
def filter_evennumbers(nums):
    result = list(filter(lambda x: x%2==0, nums))
    return result
",Write a function to filter even numbers using lambda function.,"def filter_evennumbers(nums):
 even_nums = list(filter(lambda x: x%2 == 0, nums))
 return even_nums","['assert filter_evennumbers([1, 2, 3, 4, 5, 6, 7, 8, 9, 10])==[2, 4, 6, 8, 10]', 'assert filter_evennumbers([10,20,45,67,84,93])==[10,20,84]', 'assert filter_evennumbers([5,7,9,8,6,4,3])==[8,6,4]']","Python Function - Write a function to filter even numbers using lambda function.
def filter_evennumbers(nums):
    result = list(filter(lambda x: x%2==0, nums))
    return result
",9.121071100234985
31,"
def find_Sum(arr,n):
    result = 0
    for i in range(n):
        for j in range(i+1,n):
            if arr[i] == arr[j]:
                result += arr[i]
                break
    return result


",Write a python function to find the sum of repeated elements in a given array.,"def find_Sum(arr,n): 
    return sum([x for x in arr if arr.count(x) > 1])","['assert find_Sum([1,2,3,1,1,4,5,6],8) == 3', 'assert find_Sum([1,2,3,1,1],5) == 3', 'assert find_Sum([1,1,2],3) == 2']","Python Function - Write a python function to find the sum of repeated elements in a given array.
def find_Sum(arr,n):
    result = 0
    for i in range(n):
        for j in range(i+1,n):
            if arr[i] == arr[j]:
                result += arr[i]
                break
    return result


Python Function - Write a python function to find the sum of repeated elements in a given array.
def find_Sum(arr,n):
    result = 0
    for i in range(n):
        for j in range(i+1,n):
            if arr[i] == arr[j]:

    return result
",47.975756883621216
32,"
import re
def text_match(text):
    result = re.findall(r'[a-z]+_[a-z]+', text)
    return result
",Write a function to find sequences of lowercase letters joined with an underscore using regex.,"import re
def text_match(text):
  patterns = '^[a-z]+_[a-z]+$'
  if re.search(patterns,  text):
    return ('Found a match!')
  else:
    return ('Not matched!')","['assert text_match(""aab_cbbbc"") == \'Found a match!\'', 'assert text_match(""aab_Abbbc"") == \'Not matched!\'', 'assert text_match(""Aaab_abbbc"") == \'Not matched!\'']","Python Function - Write a function to find sequences of lowercase letters joined with an underscore using regex.
import re
def text_match(text):
    result = re.findall(r'[a-z]+_[a-z]+', text)
    return result
",11.597612857818604
33,"
import re
def text_match_string(text):
    result = re.match(r'^text', text)
    return result
",Write a function that matches a word at the beginning of a string.,"import re
def text_match_string(text):
        patterns = '^\w+'
        if re.search(patterns,  text):
                return 'Found a match!'
        else:
                return 'Not matched!'","['assert text_match_string("" python"")==(\'Not matched!\')', 'assert text_match_string(""python"")==(\'Found a match!\')', 'assert text_match_string(""  lang"")==(\'Not matched!\')']","Python Function - Write a function that matches a word at the beginning of a string.
import re
def text_match_string(text):
    result = re.match(r'^text', text)
    return result
",7.7023725509643555
